DEVID,SESSION_APID,SESSION_PTYPE,SESSION_START_TIME,SESSION_END_TIME,SESSION_ADDR_S,SESSION_ADDR_SP,SESSION_ADDR_D,SESSION_ADDR_DP,NAT_IP,NAT_PORT,SESSION_UP,SESSION_DOWN,ACCOUNT,HTTPOST,OPERATORS,POSITION,SRC_POSITION,ifname
1,0,17,1502243378,1502243378,167904287,54435,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243380,1502243380,167904345,60666,3758096636,5355,0,0,48,0,$,$,5,保留地址,局域网,$
1,0,17,1502243383,1502243383,167904345,62455,3758096636,5355,0,0,48,0,$,$,5,保留地址,局域网,$
1,0,17,1502243384,1502243384,167904315,57256,3758096637,3544,0,0,40,0,$,$,5,保留地址,局域网,$
1,0,17,1502243381,1502243384,167904296,52633,4026531834,1900,0,0,700,0,$,$,5,保留地址,局域网,$
1,0,17,1502243375,1502243390,167904287,55291,4026531834,1900,0,0,798,0,$,$,5,保留地址,局域网,$
1,0,17,1502243392,1502243392,167904362,51064,3758096636,5355,0,0,52,0,$,$,5,保留地址,局域网,$
1,0,17,1502243225,1502243393,167904496,138,167904767,138,0,0,3354,0,$,$,0,局域网,局域网,$
1,26,6,1502243578,1502243578,167904492,48591,167904424,6000,0,0,32,48080,$,$,0,局域网,局域网,$
1,0,17,1502243394,1502243394,167904331,53808,4294967295,9200,0,0,5,0,$,$,5,2016090701,局域网,$
1,0,17,1502243385,1502243395,167904267,62012,4294967295,3289,0,0,42,0,$,$,5,2016090701,局域网,$
1,0,17,1502243392,1502243395,167904273,55628,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
1,0,17,1502243400,1502243400,167904494,138,167968767,138,0,0,219,0,$,$,0,局域网,局域网,$
1,0,17,1502243400,1502243400,167904328,49428,167904767,137,0,0,50,0,$,$,0,局域网,局域网,$
1,0,17,1502243402,1502243402,167904267,54339,3758096636,5355,0,0,54,0,$,$,5,保留地址,局域网,$
1,0,17,1502243405,1502243405,167904267,59896,3758096636,5355,0,0,52,0,$,$,5,保留地址,局域网,$
1,0,17,1502243281,1502243407,167904362,54295,4026531834,1900,0,0,3537,0,$,$,5,保留地址,局域网,$
1,0,17,1502243410,1502243410,167904288,64688,4026531834,1900,0,0,94,0,$,$,5,保留地址,局域网,$
1,0,17,1502243410,1502243410,167904345,55193,3758096636,5355,0,0,48,0,$,$,5,保留地址,局域网,$
1,0,17,1502243410,1502243410,167904306,52705,3758096637,3544,0,0,40,0,$,$,5,保留地址,局域网,$
1,0,17,1502243409,1502243412,167904307,61554,4026531834,1900,0,0,692,0,$,$,5,保留地址,局域网,$
